"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","5,599 ms (-0%)","5,599 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","5,599 ms (-0%)","5,599 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","5,599 ms (-0%)","5,599 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","5,599 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-2","5,599 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"container-0","5,599 ms (-0%)","0.0 ms (0%)","1"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.catalina.core.StandardServer.await ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   java.lang.Thread.sleep[native] ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8081-BlockPoller","5,599 ms (-0%)","5,599 ms (-0%)","1"
" org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run ()","5,599 ms (-0%)","5,599 ms (-0%)","1"
"  sun.nio.ch.SelectorImpl.select ()","5,599 ms (-0%)","5,599 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8081-exec-1","5,599 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8081-exec-2","5,599 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8081-exec-3","5,599 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","5,599 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
