"Name","Live Bytes","Live Objects"
"byte[]","7,817,960 B (18.9%)","82,028 (9.2%)"
"java.lang.Object[]","5,656,936 B (13.7%)","147,327 (16.6%)"
"java.util.TreeMap$Entry","3,767,160 B (9.1%)","94,179 (10.6%)"
"int[]","2,342,488 B (5.7%)","7,070 (0.8%)"
"java.lang.String","1,835,688 B (4.4%)","76,487 (8.6%)"
"java.lang.reflect.Method","1,674,288 B (4.1%)","19,026 (2.1%)"
"java.lang.Class","1,439,824 B (3.5%)","12,104 (1.4%)"
"java.io.ObjectStreamClass$WeakClassKey","1,410,080 B (3.4%)","44,065 (5%)"
"char[]","1,366,288 B (3.3%)","5,213 (0.6%)"
"java.util.concurrent.ConcurrentHashMap$Node","1,265,504 B (3.1%)","39,547 (4.5%)"
"java.util.TreeMap$KeyIterator","696,192 B (1.7%)","21,756 (2.4%)"
"java.util.TreeMap","522,768 B (1.3%)","10,891 (1.2%)"
"java.util.LinkedHashMap$Entry","516,040 B (1.2%)","12,901 (1.5%)"
"java.util.HashMap$Node[]","515,656 B (1.2%)","5,600 (0.6%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","511,128 B (1.2%)","483 (0.1%)"
"java.util.HashMap$Node","472,192 B (1.1%)","14,756 (1.7%)"
"java.lang.StackTraceElement","442,704 B (1.1%)","9,223 (1%)"
"java.lang.Class[]","421,968 B (1%)","18,656 (2.1%)"
"java.util.TreeMap$EntryIterator","354,976 B (0.9%)","11,093 (1.2%)"
"java.util.LinkedHashMap","313,376 B (0.8%)","5,596 (0.6%)"
"java.lang.Object","286,784 B (0.7%)","17,924 (2%)"
"java.io.SerialCallbackContext","268,176 B (0.6%)","11,174 (1.3%)"
"java.util.Collections$UnmodifiableCollection$1","267,936 B (0.6%)","11,164 (1.3%)"
"org.h2.mvstore.MVMap[]","262,160 B (0.6%)","1 (0%)"
"javax.management.openmbean.CompositeDataSupport","259,704 B (0.6%)","10,821 (1.2%)"
"java.lang.reflect.Field","241,848 B (0.6%)","3,359 (0.4%)"
"java.util.TreeMap$EntrySet","173,744 B (0.4%)","10,859 (1.2%)"
"java.util.TreeMap$KeySet","173,232 B (0.4%)","10,827 (1.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference","145,728 B (0.4%)","3,036 (0.3%)"
"java.util.HashMap","141,408 B (0.3%)","2,946 (0.3%)"
"java.lang.invoke.MemberName","139,584 B (0.3%)","2,908 (0.3%)"
"java.lang.Integer","135,152 B (0.3%)","8,447 (1%)"
"java.lang.String[]","130,288 B (0.3%)","4,027 (0.5%)"
"java.lang.reflect.Method[]","130,096 B (0.3%)","2,228 (0.3%)"
"java.lang.ref.SoftReference","129,520 B (0.3%)","3,238 (0.4%)"
"java.lang.Class$ReflectionData","120,896 B (0.3%)","1,889 (0.2%)"
"java.lang.StackTraceElement[]","110,656 B (0.3%)","2,023 (0.2%)"
"java.lang.reflect.Constructor","110,448 B (0.3%)","1,534 (0.2%)"
"java.lang.management.ThreadInfo","106,080 B (0.3%)","1,020 (0.1%)"
"org.springframework.core.MethodClassKey","99,816 B (0.2%)","4,159 (0.5%)"
"java.util.concurrent.ConcurrentHashMap","99,520 B (0.2%)","1,555 (0.2%)"
"long[]","96,224 B (0.2%)","178 (0%)"
"org.springframework.core.ResolvableType","94,224 B (0.2%)","1,963 (0.2%)"
"javax.management.openmbean.CompositeData[]","93,144 B (0.2%)","3,094 (0.3%)"
"java.lang.invoke.MethodType","90,440 B (0.2%)","2,261 (0.3%)"
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]","81,168 B (0.2%)","1,830 (0.2%)"
"java.util.ArrayList","76,488 B (0.2%)","3,187 (0.4%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","72,672 B (0.2%)","2,271 (0.3%)"
"org.springframework.util.ConcurrentReferenceHashMap$Entry","70,704 B (0.2%)","2,946 (0.3%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment","67,840 B (0.2%)","1,696 (0.2%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","62,480 B (0.2%)","1,562 (0.2%)"
"java.lang.ref.ReferenceQueue","59,392 B (0.1%)","1,856 (0.2%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","58,880 B (0.1%)","1,840 (0.2%)"
"java.io.ObjectStreamClass","58,440 B (0.1%)","487 (0.1%)"
"java.lang.invoke.ResolvedMethodName","50,712 B (0.1%)","2,113 (0.2%)"
"java.util.LinkedList","50,688 B (0.1%)","1,584 (0.2%)"
"short[]","50,496 B (0.1%)","20 (0%)"
"java.nio.ByteBuffer[]","49,344 B (0.1%)","12 (0%)"
"java.util.LinkedList$Node","48,384 B (0.1%)","2,016 (0.2%)"
"java.lang.ref.WeakReference","45,280 B (0.1%)","1,415 (0.2%)"
"org.h2.value.TypeInfo","43,920 B (0.1%)","1,098 (0.1%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry[]","43,008 B (0.1%)","96 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager","40,704 B (0.1%)","1,696 (0.2%)"
"ch.qos.logback.classic.Logger","38,880 B (0.1%)","810 (0.1%)"
"org.springframework.core.annotation.TypeMappedAnnotation","37,520 B (0.1%)","670 (0.1%)"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition","36,248 B (0.1%)","197 (0%)"
"org.springframework.beans.factory.support.RootBeanDefinition","35,376 B (0.1%)","201 (0%)"
"sun.reflect.annotation.AnnotationInvocationHandler","35,352 B (0.1%)","1,473 (0.2%)"
"java.lang.invoke.LambdaForm$Name","31,648 B (0.1%)","989 (0.1%)"
"java.lang.ref.ReferenceQueue$Lock","29,760 B (0.1%)","1,860 (0.2%)"
"org.h2.table.Column","28,864 B (0.1%)","328 (0%)"
